price_open,price_high,price_low,price_close,timestamp,date
0.000237479,0.000237479,0.000237479,0.000237479,1679782380,2023-03-25T22:13:00
0.00041633,0.00041633,0.00041633,0.00041633,1670779380,2022-12-11T17:23:00
0.00103018,0.00103018,0.00103018,0.00103018,1670779200,2022-12-11T17:20:00
0.000219964,0.000219964,0.000219964,0.000219964,1667068680,2022-10-29T18:38:00
0.0002345,0.0002345,0.0002345,0.0002345,1666923240,2022-10-28T02:14:00
0.000236913,0.000236913,0.000236913,0.000236913,1666039860,2022-10-17T20:51:00
0.000263189,0.000263189,0.000263189,0.000263189,1663504380,2022-09-18T12:33:00
0.000270489,0.000270489,0.000270489,0.000270489,1663388220,2022-09-17T04:17:00
0.000438509,0.000438509,0.000438509,0.000438509,1660533600,2022-08-15T03:20:00
0.000408828,0.000408828,0.000408828,0.000408828,1659601680,2022-08-04T08:28:00
0.000398385,0.000398385,0.000398385,0.000398385,1659384660,2022-08-01T20:11:00
0.000547185,0.000547185,0.000547185,0.000547185,1653937500,2022-05-30T19:05:00
0.00055841,0.00055841,0.00055841,0.00055841,1653070740,2022-05-20T18:19:00
0.000647392,0.000647392,0.000647392,0.000647392,1647025800,2022-03-11T19:10:00
0.000746374,0.000746374,0.000746374,0.000746374,1646462340,2022-03-05T06:39:00
0.000907211,0.000907211,0.000907211,0.000907211,1645757940,2022-02-25T02:59:00
0.00102891,0.00102891,0.00102891,0.00102891,1641603660,2022-01-08T01:01:00
0.000470415,0.000470415,0.000470415,0.000470415,1641331200,2022-01-04T21:20:00
0.000233238,0.000233238,0.000233238,0.000233238,1637918760,2021-11-26T09:26:00
0.000227954,0.000227954,0.000227954,0.000227954,1637529900,2021-11-21T21:25:00
0.000208221,0.000208221,0.000208221,0.000208221,1635387360,2021-10-28T02:16:00
0.000187497,0.000187497,0.000187497,0.000187497,1633450380,2021-10-05T16:13:00
0.000216537,0.000216537,0.000216537,0.000216537,1631939160,2021-09-18T04:26:00
0.000206072,0.000206072,0.000206072,0.000206072,1631362560,2021-09-11T12:16:00
0.000431563,0.000431563,0.000431563,0.000431563,1630728660,2021-09-04T04:11:00
0.00065252,0.00065252,0.00065252,0.00065252,1630465440,2021-09-01T03:04:00
0.000592884,0.000592884,0.000592884,0.000592884,1629715200,2021-08-23T10:40:00
0.000582584,0.000582584,0.000582584,0.000582584,1629453540,2021-08-20T09:59:00
0.000621701,0.000621701,0.000621701,0.000621701,1628728440,2021-08-12T00:34:00
0.000403529,0.000403529,0.000403529,0.000403529,1628648820,2021-08-11T02:27:00
0.000223938,0.000223938,0.000223938,0.000223938,1628647380,2021-08-11T02:03:00
0.000230995,0.000230995,0.000230995,0.000230995,1628409720,2021-08-08T08:02:00
0.000236044,0.000236044,0.000236044,0.000236044,1628132100,2021-08-05T02:55:00
0.000230651,0.000230651,0.000230651,0.000230651,1627889760,2021-08-02T07:36:00
0.000347284,0.000347284,0.000347284,0.000347284,1627889700,2021-08-02T07:35:00
0.000373696,0.000565117,0.000373696,0.000565117,1627887660,2021-08-02T07:01:00
0.000226414,0.000226414,0.000226414,0.000226414,1627735560,2021-07-31T12:46:00
0.000211981,0.000211981,0.000211981,0.000211981,1627528800,2021-07-29T03:20:00
0.000210238,0.000210238,0.000210238,0.000210238,1627528560,2021-07-29T03:16:00
0.000226309,0.000226309,0.000226309,0.000226309,1627528500,2021-07-29T03:15:00
0.000243945,0.000243945,0.000243945,0.000243945,1627527780,2021-07-29T03:03:00
0.000278997,0.000278997,0.000278997,0.000278997,1627525260,2021-07-29T02:21:00
0.000208437,0.000208437,0.000208437,0.000208437,1627524600,2021-07-29T02:10:00
0.000221903,0.000221903,0.000221903,0.000221903,1627486800,2021-07-28T15:40:00
0.000230404,0.000230404,0.000230404,0.000230404,1627267680,2021-07-26T02:48:00
0.000213791,0.000213791,0.000213791,0.000213791,1627224000,2021-07-25T14:40:00
0.000228378,0.000228378,0.000228378,0.000228378,1627114080,2021-07-24T08:08:00
0.000205086,0.000205086,0.000205086,0.000205086,1626872340,2021-07-21T12:59:00
0.000214207,0.000214207,0.000214207,0.000214207,1626400200,2021-07-16T01:50:00
0.000222614,0.000222614,0.000222614,0.000222614,1626305220,2021-07-14T23:27:00
0.00023019,0.00023019,0.00023019,0.00023019,1626132480,2021-07-12T23:28:00
0.000261711,0.000261711,0.000261711,0.000261711,1626099300,2021-07-12T14:15:00
0.000267282,0.000267282,0.000267282,0.000267282,1626053760,2021-07-12T01:36:00
0.000265516,0.000265516,0.000265516,0.000265516,1626013800,2021-07-11T14:30:00
0.000266827,0.000266827,0.000266827,0.000266827,1626012120,2021-07-11T14:02:00
0.000242081,0.000242081,0.000242081,0.000242081,1625953980,2021-07-10T21:53:00
0.000243339,0.000243339,0.000243339,0.000243339,1625134860,2021-07-01T10:21:00
0.000254694,0.000254694,0.000254694,0.000254694,1624266600,2021-06-21T09:10:00
0.00032921,0.00032921,0.00032921,0.00032921,1623988680,2021-06-18T03:58:00
0.000356067,0.000356067,0.000356067,0.000356067,1623816240,2021-06-16T04:04:00
0.000354513,0.000354513,0.000354513,0.000354513,1623816060,2021-06-16T04:01:00
0.000364666,0.000364666,0.000364666,0.000364666,1623620760,2021-06-13T21:46:00
0.000357204,0.000357204,0.000357204,0.000357204,1623206940,2021-06-09T02:49:00
0.000411098,0.000411098,0.000411098,0.000411098,1623052560,2021-06-07T07:56:00
0.000400216,0.000400216,0.000400216,0.000400216,1623010740,2021-06-06T20:19:00
0.000435988,0.000435988,0.000435988,0.000435988,1622973600,2021-06-06T10:00:00
0.000484553,0.000484553,0.000484553,0.000484553,1622820600,2021-06-04T15:30:00
0.000472117,0.000472117,0.000472117,0.000472117,1622812860,2021-06-04T13:21:00
0.00043999,0.00043999,0.00043999,0.00043999,1622803980,2021-06-04T10:53:00
0.00045754,0.00045754,0.00045754,0.00045754,1622768520,2021-06-04T01:02:00
0.000436687,0.000436687,0.000436687,0.000436687,1622703120,2021-06-03T06:52:00
0.000366389,0.000366389,0.000366389,0.000366389,1622560560,2021-06-01T15:16:00
0.000329626,0.000329626,0.000329626,0.000329626,1622376000,2021-05-30T12:00:00
0.0002668,0.0002668,0.0002668,0.0002668,1621783260,2021-05-23T15:21:00
0.000361859,0.000361859,0.000361859,0.000361859,1621489500,2021-05-20T05:45:00
0.000428306,0.000428306,0.000428306,0.000428306,1621260600,2021-05-17T14:10:00
0.000451383,0.000451383,0.000451383,0.000451383,1621003320,2021-05-14T14:42:00
0.000485388,0.000485388,0.000485388,0.000485388,1620957420,2021-05-14T01:57:00
0.000508145,0.000508145,0.000508145,0.000508145,1620560700,2021-05-09T11:45:00
0.00045521,0.00045521,0.00045521,0.00045521,1620329700,2021-05-06T19:35:00
0.000429943,0.000429943,0.000429943,0.000429943,1620171660,2021-05-04T23:41:00
0.000423799,0.000423799,0.000423799,0.000423799,1620160620,2021-05-04T20:37:00
0.000439878,0.000439878,0.000439878,0.000439878,1620133440,2021-05-04T13:04:00
0.000386222,0.000386222,0.000386222,0.000386222,1620021300,2021-05-03T05:55:00
0.000370061,0.000370061,0.000370061,0.000370061,1619988540,2021-05-02T20:49:00
0.000365987,0.000365987,0.000365987,0.000365987,1619971080,2021-05-02T15:58:00
0.000342359,0.000342359,0.000342359,0.000342359,1619969400,2021-05-02T15:30:00
0.000327601,0.000327601,0.000327601,0.000327601,1619957400,2021-05-02T12:10:00
0.000342165,0.000342165,0.000342165,0.000342165,1619924820,2021-05-02T03:07:00
